City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,nagqu,31.5,92.0,-4.66,92,100,1.59,CN,1698180632
266,buka,40.8108,69.1986,13.75,49,4,0.84,UZ,1698180632
267,kendari,-3.945,122.4989,21.84,93,24,1.02,ID,1698180633
268,kideksha,56.4167,40.5167,0.38,72,9,2.22,RU,1698180633
269,sao miguel do araguaia,-13.275,-50.1628,35.72,24,99,1.2,BR,1698180633
270,fountain,38.6822,-104.7008,24.05,27,75,6.69,US,1698180633
271,nova vicosa,-17.8919,-39.3719,24.51,79,50,7.11,BR,1698180573
272,masterton,-40.9597,175.6575,13.82,66,68,7.1,NZ,1698180633
273,dzialoszyn,51.117,18.8652,12.09,87,100,3.25,PL,1698180634
274,carutapera,-1.195,-46.02,26.83,76,96,4.11,BR,1698180634
275,par,50.3539,-4.7109,11.56,92,100,1.27,GB,1698180634
276,algona,43.07,-94.233,23.4,94,75,4.63,US,1698180634
277,bardai,11.65,7.2333,24.26,20,59,2.22,NG,1698180634
278,brasileia,-11.0161,-68.7481,35.25,52,40,4.12,BR,1698180634
279,kuqa,41.7278,82.9364,12.62,31,2,2.66,CN,1698180635
280,san patricio,28.017,-97.5169,31.92,62,70,9.43,US,1698180635
281,tanout,14.9709,8.8879,28.0,10,67,4.15,NE,1698180635
282,georgetown,5.4112,100.3354,25.96,98,20,1.54,MY,1698180635
283,aykhal,66.0,111.5,-10.19,99,100,4.11,RU,1698180635
284,ar ruways,24.1103,52.7306,28.36,64,97,1.64,AE,1698180636
285,aral,40.5156,81.2636,13.29,24,0,2.72,CN,1698180636
286,kilju,40.9642,129.3278,11.18,67,0,2.81,KP,1698180636
287,muang xay,20.7,101.9833,21.47,80,71,0.83,LA,1698180636
288,ziro,27.6333,93.8333,8.4,76,92,1.24,IN,1698180636
289,ryotsu-minato,38.0833,138.4333,16.32,76,100,1.93,JP,1698180636
290,kabatas,40.75,37.45,15.55,75,8,2.04,TR,1698180637
291,quellon,-43.1167,-73.6167,11.4,66,33,5.55,CL,1698180637
292,bria,6.5423,21.9863,22.29,94,100,0.69,CF,1698180637
293,turabah,21.2141,41.6331,23.73,29,51,7.8,SA,1698180637
294,missoula,47.0166,-113.8009,6.47,52,100,1.54,US,1698180637
295,turbat,26.0023,63.044,27.09,61,1,2.13,PK,1698180637
296,udachny,66.4167,112.4,-9.05,98,100,3.17,RU,1698180637
297,port lincoln,-34.7333,135.8667,12.16,51,80,7.93,AU,1698180638
298,port mathurin,-19.6833,63.4167,24.62,80,15,7.39,MU,1698180638
299,dalandzadgad,43.5708,104.425,7.17,43,5,3.71,MN,1698180638
300,oak hill,37.9723,-81.1487,24.33,23,9,0.59,US,1698180557
301,saldanha,-33.0117,17.9442,14.03,83,2,5.76,ZA,1698180638
302,ghat,24.9647,10.1728,27.34,18,0,1.38,LY,1698180638
303,aldinga beach,-35.2793,138.4604,11.92,65,28,7.71,AU,1698180638
304,al qitena,14.8648,32.3668,32.89,24,8,1.27,SD,1698180639
305,gimbi,9.1667,35.8333,13.64,95,100,1.34,ET,1698180639
306,urazovo,50.0836,38.0395,8.55,74,89,3.12,RU,1698180639
307,plattsburgh,44.6995,-73.4529,13.42,75,100,3.09,US,1698180627
308,slavyanka,42.8633,131.3847,11.01,80,0,2.17,RU,1698180639
309,oakland,42.6667,-83.3999,25.48,54,40,4.92,US,1698180507
310,chake chake,-5.2459,39.7666,25.47,87,72,2.17,TZ,1698180639
311,ankang,32.68,109.0172,17.37,84,100,0.36,CN,1698180639
312,haiku-pauwela,20.9219,-156.3051,30.09,65,20,3.09,US,1698180640
313,tamandare,-8.7597,-35.1047,25.03,77,2,3.51,BR,1698180640
314,tottori,35.5,134.2333,14.87,79,67,2.18,JP,1698180402
315,atafu village,-8.5421,-172.5159,29.0,72,44,4.7,TK,1698180640
316,sandnessjoen,66.0217,12.6316,4.12,75,20,3.6,NO,1698180640
317,okha,53.5739,142.9478,1.73,78,71,4.46,RU,1698180640
318,tefe,-3.3542,-64.7114,34.06,52,40,1.54,BR,1698180640
319,poronaysk,49.2167,143.1167,7.05,85,88,1.55,RU,1698180641
320,mont-dore,-22.2833,166.5833,25.0,99,98,4.44,NC,1698180641
321,mccordsville,39.9081,-85.9228,25.62,49,75,5.14,US,1698180641
322,uturoa,-16.7333,-151.4333,26.68,76,98,6.0,PF,1698180641
323,puntarenas,9.9763,-84.8384,27.42,84,100,0.63,CR,1698180375
324,mangrol,21.1167,70.1167,27.5,66,6,2.14,IN,1698180641
325,beau vallon,-20.4189,57.6953,25.12,88,20,2.06,MU,1698180642
326,wum,6.3833,10.0667,18.91,93,97,1.71,CM,1698180642
327,maumere,-8.6199,122.2111,25.43,76,21,2.32,ID,1698180642
328,pandan,14.0453,124.1694,26.56,86,96,2.69,PH,1698180642
329,cill airne,52.05,-9.5167,8.39,91,48,0.72,IE,1698180642
330,vrbas,45.5714,19.6408,22.77,36,100,5.21,RS,1698180642
331,hakui,36.8833,136.7833,13.71,83,66,1.2,JP,1698180642
332,taoudenni,22.6783,-3.9836,32.57,21,100,4.07,ML,1698180643
333,chonchi,-42.6128,-73.8092,12.56,62,41,1.03,CL,1698180643
334,touros,-5.1989,-35.4608,25.45,77,32,5.67,BR,1698180643
335,iskateley,67.6803,53.1512,-4.99,82,100,4.47,RU,1698180643
336,tolanaro,-25.0319,46.9987,24.04,83,75,0.0,MG,1698180643
337,pathein,16.7833,94.7333,23.88,92,37,0.66,MM,1698180643
338,merizo village,13.2658,144.6691,27.31,95,43,4.07,GU,1698180643
339,aso,32.9551,131.0967,10.76,89,0,0.22,JP,1698180644
340,rainsville,34.4943,-85.8477,24.47,23,0,3.6,US,1698180644
341,kargasok,59.0556,80.8572,-0.58,77,100,5.36,RU,1698180644
342,port saint john's,-31.6229,29.5448,17.3,74,2,4.93,ZA,1698180644
343,prado,-17.3411,-39.2208,24.31,81,43,6.6,BR,1698180644
344,norfolk,42.1668,-71.2495,16.75,62,6,0.45,US,1698180572
345,crane,31.3974,-102.3501,27.88,47,0,6.39,US,1698180644
346,leones,-32.6617,-62.2968,19.41,65,81,4.47,AR,1698180645
347,bubaque,11.2833,-15.8333,28.73,74,100,1.75,GW,1698180645
348,shelby,35.2001,-89.8668,29.47,40,0,4.12,US,1698180645
349,hastings,50.8552,0.5729,13.49,43,95,3.16,GB,1698180645
350,summerside,46.3959,-63.7876,12.07,58,23,5.14,CA,1698180645
351,kampene,-3.6,26.6667,20.46,98,77,0.78,CD,1698180645
352,hatta,24.1167,79.6,19.64,47,0,0.46,IN,1698180645
353,khuzdar,27.7384,66.6434,20.85,31,0,0.74,PK,1698180646
354,ebon,4.582,168.6964,27.64,75,100,2.17,MH,1698180646
355,igarka,67.4667,86.5833,-8.23,96,85,0.92,RU,1698180646
356,motueka,-41.1333,173.0167,17.83,67,35,1.19,NZ,1698180646
357,polyarnyy,69.1989,33.4478,0.6,83,99,3.3,RU,1698180646
358,vega de alatorre,20.0333,-96.6333,29.28,74,69,6.64,MX,1698180646
359,kenai,60.5544,-151.2583,2.3,75,0,4.63,US,1698180647
360,boca suno,-0.7167,-77.1333,33.77,57,80,0.62,EC,1698180480
361,usogorsk,63.4106,48.6872,-0.74,86,99,3.62,RU,1698180647
362,mammoth lakes,37.6485,-118.9721,15.19,22,0,3.13,US,1698180401
363,aasiaat,68.7098,-52.8699,-10.09,71,100,2.71,GL,1698180647
364,newman,37.3138,-121.0208,25.03,34,4,0.54,US,1698180647
